Timestamp,Action,Symbol,Price,Quantity,PnL,Balance,Reason
2025-11-28 10:57:01,BUY,NSE_EQ:VBL,481.6,203,0.0,-71946.4,Signal
2025-11-28 10:57:05,SELL,NSE_EQ:VBL,481.35,203,-50.75,-71997.15,Trailing Stop Triggered
2025-11-28 10:59:01,BUY,NSE_EQ:VBL,481.95,203,0.0,-71997.15,Signal
2025-11-28 10:59:49,SELL,NSE_EQ:VBL,481.6,203,-71.05,-72068.2,Trailing Stop Triggered
2025-12-01 10:44:02,BUY,NSE_EQ:63MOONS,867.8,112,0.0,-72068.2,Signal
2025-12-01 10:45:04,SELL,NSE_EQ:63MOONS,867.25,112,-61.6,-72129.8,Trailing Stop Triggered
2025-12-01 10:49:00,BUY,NSE_EQ:63MOONS,866.9,113,0.0,-72129.8,Signal
2025-12-01 10:51:37,SELL,NSE_EQ:63MOONS,5,113,-97394.7,-169524.5,Trailing Stop Triggered
2025-12-01 11:38:01,BUY,NSE_EQ:VBL,483.65,202,0.0,-169524.5,Signal
2025-12-01 11:38:04,SELL,NSE_EQ:VBL,483.65,202,0.0,-169524.5,Trailing Stop Triggered
2025-12-01 12:02:00,BUY,NSE_EQ:IIFLCAPS,317.1,309,0.0,-169524.5,Signal
2025-12-01 12:04:04,SELL,NSE_EQ:IIFLCAPS,316.7,309,-123.6,-169648.1,Trailing Stop Triggered
2025-12-01 12:11:01,BUY,NSE_EQ:IIFLCAPS,317.05,309,0.0,-169648.1,Signal
2025-12-01 12:16:03,SELL,NSE_EQ:IIFLCAPS,316.9,309,-46.35,-169694.45,Trailing Stop Triggered
2025-12-01 12:59:01,BUY,NSE_EQ:IIFLCAPS,315.85,310,0.0,-169694.45,Signal
2025-12-01 13:02:27,SELL,NSE_EQ:IIFLCAPS,315.4,310,-139.5,-169833.95,Trailing Stop Triggered
2025-12-01 13:07:01,BUY,NSE_EQ:IIFLCAPS,315.85,310,0.0,-169833.95,Signal
2025-12-01 13:09:50,SELL,NSE_EQ:IIFLCAPS,315.2,310,-201.5,-170035.45,Trailing Stop Triggered
2025-12-01 13:13:00,BUY,NSE_EQ:IIFLCAPS,315.6,310,0.0,-170035.45,Signal
2025-12-01 13:16:28,SELL,NSE_EQ:IIFLCAPS,315.35,310,-77.5,-170112.95,Trailing Stop Triggered
2025-12-01 13:30:01,BUY,NSE_EQ:IIFLCAPS,315.0,311,0.0,-170112.95,Signal
2025-12-01 13:34:58,SELL,NSE_EQ:IIFLCAPS,314.65,311,-108.85,-170221.8,Trailing Stop Triggered
2025-12-01 13:41:00,BUY,NSE_EQ:IIFLCAPS,314.85,311,0.0,-170221.8,Signal
2025-12-01 13:41:48,SELL,NSE_EQ:IIFLCAPS,314.7,311,-46.65,-170268.45,Trailing Stop Triggered
2025-12-01 13:45:01,BUY,NSE_EQ:IIFLCAPS,315.0,311,0.0,-170268.45,Signal
2025-12-01 13:46:50,SELL,NSE_EQ:IIFLCAPS,314.85,311,-46.65,-170315.1,Trailing Stop Triggered
2025-12-01 13:51:00,BUY,NSE_EQ:IIFLCAPS,315.1,311,0.0,-170315.1,Signal
2025-12-01 13:54:39,SELL,NSE_EQ:IIFLCAPS,314.7,311,-124.4,-170439.5,Trailing Stop Triggered
2025-12-01 14:01:01,BUY,NSE_EQ:IIFLCAPS,314.95,311,0.0,-170439.5,Signal
2025-12-01 14:02:15,SELL,NSE_EQ:IIFLCAPS,314.65,311,-93.3,-170532.8,Trailing Stop Triggered
2025-12-01 14:14:01,BUY,NSE_EQ:IIFLCAPS,314.55,311,0.0,-170532.8,Signal
2025-12-01 14:16:09,SELL,NSE_EQ:IIFLCAPS,314.1,311,-139.95,-170672.75,Trailing Stop Triggered
2025-12-03 10:48:01,BUY,NSE_EQ:IIFLCAPS,316.4,309,0.0,-170672.75,Signal
2025-12-03 12:16:41,SELL,NSE_EQ:IIFLCAPS,319.3,309,896.1,-169776.65,Trailing Stop Triggered
2025-12-03 12:19:01,BUY,NSE_EQ:IIFLCAPS,319.5,306,0.0,-169776.65,Signal
2025-12-03 12:20:03,SELL,NSE_EQ:IIFLCAPS,318.95,306,-168.3,-169944.95,Trailing Stop Triggered
2025-12-03 12:28:01,BUY,NSE_EQ:IIFLCAPS,319.35,306,0.0,-169944.95,Signal
2025-12-03 12:28:18,SELL,NSE_EQ:IIFLCAPS,319.0,306,-107.1,-170052.05,Trailing Stop Triggered
2025-12-03 12:29:01,BUY,NSE_EQ:IIFLCAPS,319.4,306,0.0,-170052.05,Signal
